Time(s),Force(N)
314.88,8.8326354982
314.92,8.8402999878
314.96,8.8479644774
315.0,8.855628967
315.04,8.8505187986
315.08,8.8454086302
315.12,8.8402984618
315.16,8.8351882934
315.2,8.830078125
315.24,8.8548622131
315.28000000000003,8.8796463012
315.32,8.9044303893
315.36,8.9292144774
315.40000000000003,8.953998565500001
315.44,8.9787826536
315.48,9.0035667417
315.52,9.0283508298
315.56,9.0531349179
315.6,9.077919006
315.64,9.1765411374
315.68,9.2751632688
315.72,9.3737854002
315.76,9.4724075316
315.8,9.571029663
315.84000000000003,9.6865158084
315.88,9.8020019538
315.92,9.9174880992
315.96,10.0329742446
316.0,10.14846039
316.04,10.223577882
316.08,10.298695374
316.12,10.373812866
316.16,10.448930358
316.2,10.52404785
316.24,10.569526671
316.28000000000003,10.615005492
316.32,10.660484313
316.36,10.705963134
316.40000000000003,10.751441955
316.44,10.796920776
316.48,10.842399597
316.52,10.887878418
316.56,10.933357239
316.6,10.97883606
316.64,10.93182373
316.68,10.8848114
316.72,10.83779907
316.76,10.79078674
316.8,10.74377441
316.84000000000003,10.69880676
316.88,10.65383911
316.92,10.60887146
316.96,10.56390381
317.0,10.51893616
317.04,10.508204654
317.08,10.497473148
317.12,10.486741642
317.16,10.476010136
317.2,10.46527863
317.24,10.417755894
317.28000000000003,10.370233158
317.32,10.322710422
317.36,10.275187686
317.40000000000003,10.22766495
317.44,10.180142214
317.48,10.132619478
317.52,10.085096742
317.56,10.037574006
317.6,9.99005127
317.64,9.9047134404
317.68,9.8193756108
317.72,9.7340377812
317.76,9.6486999516
317.8,9.563362122
317.84000000000003,9.4943771366
317.88,9.4253921512
317.92,9.3564071658
317.96,9.2874221804
318.0,9.218437195
318.04,9.1612060548
318.08,9.1039749146
318.12,9.0467437744
318.16,8.9895126342
318.2,8.932281494
318.24,8.90826416
318.28000000000003,8.884246826
318.32,8.860229492
318.36,8.836212158
318.40000000000003,8.812194823999999
318.44,8.788177489999999
318.48,8.764160155999999
318.52,8.740142822
318.56,8.716125488
318.6,8.692108154
318.64,8.7059051512
318.68,8.7197021484
318.72,8.7334991456
318.76,8.7472961428
318.8,8.76109314
318.84000000000003,8.7769348148
318.88,8.7927764896
318.92,8.8086181644
318.96,8.8244598392
319.0,8.840301514
319.04,8.8224166872
319.08,8.804531860400001
319.12,8.7866470336
319.16,8.7687622068
319.2,8.75087738
319.24,8.833403777700001
319.28000000000003,8.9159301754
319.32,8.9984565731
319.36,9.0809829708
319.40000000000003,9.1635093685
319.44,9.2460357662
319.48,9.3285621639
319.52,9.4110885616
319.56,9.4936149593
319.6,9.576141357
319.64,9.7176879876
319.68,9.8592346182
319.72,10.0007812488
319.76,10.1423278794
319.8,10.28387451
319.84000000000003,10.355924986
319.88,10.427975462
319.92,10.500025938
319.96,10.572076414
320.0,10.64412689
320.04,10.731507872
320.08,10.818888854
320.12,10.906269836
320.16,10.993650818
320.2,11.0810318
320.24,11.091507722
320.28000000000003,11.101983644
320.32,11.112459566
320.36,11.122935488
320.40000000000003,11.13341141
320.44,11.143887332
320.48,11.154363254
320.52,11.164839176
320.56,11.175315098
320.6,11.18579102
320.64,11.095344546
320.68,11.004898072
320.72,10.914451598
320.76,10.824005124
320.8,10.73355865
320.84000000000003,10.641067502
320.88,10.548576354
320.92,10.456085206
320.96,10.363594058
321.0,10.27110291
321.04,10.1939407386
321.08,10.1167785672
321.12,10.0396163958
321.16,9.9624542244
321.2,9.885292053
321.24,9.8247390745
321.28000000000003,9.764186096
321.32,9.7036331175
321.36,9.643080139
321.40000000000003,9.5825271605
321.44,9.521974182
321.48,9.4614212035
321.52,9.400868225
321.56,9.3403152465
321.6,9.279762268
321.64,9.2756744384
321.68,9.2715866088
321.72,9.2674987792
321.76,9.2634109496
321.8,9.25932312
321.84000000000003,9.2664764404
321.88,9.2736297608
321.92,9.2807830812
321.96,9.2879364016
322.0,9.295089722
322.04,9.2812927248
322.08,9.2674957276
322.12,9.2536987304
322.16,9.2399017332
322.2,9.226104736
322.24,9.2220169064
322.28000000000003,9.2179290768
322.32,9.2138412472
322.36,9.2097534176
322.40000000000003,9.205665588
322.44,9.2015777584
322.48,9.1974899288
322.52,9.1934020992
322.56,9.1893142696
322.6,9.18522644
322.64,9.2312164304
322.68,9.2772064208
322.72,9.3231964112
322.76,9.3691864016
322.8,9.415176392
322.84000000000003,9.497447205
322.88,9.579718018
322.92,9.661988831
322.96,9.744259644
323.0,9.826530457
323.04,9.9742095956
323.08,10.1218887342
323.12,10.2695678728
323.16,10.4172470114
323.2,10.56492615
323.24,10.647963717
323.28000000000003,10.731001284
323.32,10.814038851
323.36,10.897076418
323.40000000000003,10.980113985
323.44,11.063151552
323.48,11.146189119
323.52,11.229226686
323.56,11.312264253
323.6,11.39530182
323.64,11.409609986
323.68,11.423918152
323.72,11.438226318
323.76,11.452534484
323.8,11.46684265
323.84000000000003,11.392236328
323.88,11.317630006
323.92,11.243023684
323.96,11.168417362
324.0,11.09381104
324.04,11.101986698
324.08,11.110162356
324.12,11.118338014
324.16,11.126513672
324.2,11.13468933
324.24,11.261672973
324.28000000000003,11.388656616
324.32,11.515640259
324.36,11.642623902
324.40000000000003,11.769607545
324.44,11.896591188
324.48,12.023574831
324.52,12.150558474
324.56,12.277542117
324.6,12.40452576
324.64,12.318167116
324.68,12.231808472
324.72,12.145449828
324.76,12.059091184
324.8,11.97273254
324.84000000000003,11.868487546
324.88,11.764242552
324.92,11.659997558
324.96,11.555752564
325.0,11.45150757
325.04,11.411650086
325.08,11.371792602
325.12,11.331935118
325.16,11.292077634
325.2,11.25222015
325.24,11.231780239
325.28000000000003,11.211340328
325.32,11.190900417
325.36,11.170460506
325.40000000000003,11.150020595
325.44,11.129580684
325.48,11.109140773
325.52,11.088700862
325.56,11.068260951
325.6,11.04782104
325.64,11.039645382
325.68,11.031469724
325.72,11.023294066
325.76,11.015118408
325.8,11.00694275
325.84000000000003,11.030448914
325.88,11.053955078
325.92,11.077461242
325.96,11.100967406
326.0,11.12447357
326.04,11.193458556
326.08,11.262443542
326.12,11.331428528
326.16,11.400413514
326.2,11.4693985
326.24,11.521520234
326.28000000000003,11.573641968
326.32,11.625763702
326.36,11.677885436
326.40000000000003,11.73000717
326.44,11.782128904
326.48,11.834250638
326.52,11.886372372
