Time(s),Force(N)
281.3,8.73299408
281.35,8.801979065
281.4,8.868408203
281.45,8.911842346
281.5,8.901618958
281.55,8.906730652
281.6,8.965492249
281.65,9.126457214
281.7,9.254211426
281.75,9.379402161
281.8,9.486717224
281.85,9.540367126
281.9,9.675788879
281.95,9.811203003
282,10.06925201
282.05,10.25066376
282.1,10.43206787
282.15,10.46272278
282.2,10.45250702
282.25,10.45761871
282.3,10.53170776
282.35,10.61858368
282.4,10.76676941
282.45,10.87918854
282.5,11.05293274
282.55,11.15001678
282.6,11.23944855
282.65,11.26754761
282.7,11.32631683
282.75,11.39019012
282.8,11.45150757
282.85,11.39785767
282.9,11.28032684
282.95,11.11936188
283,11.04782104
283.05,10.94817352
283.1,10.87663269
283.15,10.80509186
283.2,10.77443695
283.25,10.71566772
283.3,10.65179443
283.35,10.55214691
283.4,10.49849701
283.45,10.41417694
283.5,10.3477478
283.55,10.22511292
283.6,10.12802124
283.65,9.979827881
283.7,9.905738831
283.75,9.846969604
283.8,9.821418762
283.85,9.800979614
283.9,9.770317078
283.95,9.757545471
284,9.703887939
284.05,9.617019653
284.1,9.471382141
284.15,9.387069702
284.2,9.310417175
284.25,9.28742218
284.3,9.249099731
284.35,9.187782288
284.4,9.060028076
284.45,9.006378174
284.5,9.011482239
284.55,9.037033081
284.6,9.034477234
284.65,9.01914978
284.7,8.988487244
284.75,8.97315979
284.8,8.960388184
284.85,8.939949036
284.9,8.919502258
284.95,8.888847351
285,8.87096405
285.05,8.858184814
285.1,8.832633972
285.15,8.758537292
285.2,8.730438232
285.25,8.738098145
285.3,8.753433228
285.35,8.789199829
285.4,8.850517273
285.45,8.970603943
285.5,9.029373169
285.55,9.100914001
285.6,9.159675598
285.65,9.238883972
285.7,9.295089722
285.75,9.351303101
285.8,9.387069702
285.85,9.412620544
285.9,9.430503845
285.95,9.530151367
286,9.862297058
286.05,10.0973587
286.1,10.38352203
286.15,10.5623703
286.2,10.74888611
286.25,10.80254364
286.3,10.87407684
286.35,10.96350861
286.4,11.17046356
286.45,11.3135376
286.5,11.43362427
286.55,11.42340851
286.6,11.37741852
286.65,11.42596436
286.7,11.59458923
286.75,11.67635345
286.8,11.69168091
286.85,11.64057922
286.9,11.64569092
286.95,11.62269592
287,11.54348755
287.05,11.42340851
287.1,11.37997437
287.15,11.33142853
287.2,11.2726593
287.25,11.16790771
287.3,11.08869934
287.35,11.00183105
287.4,10.97116852
287.45,10.91751862
287.5,10.87663269
287.55,10.83319855
287.6,10.81020355
287.65,10.70545197
287.7,10.60580444
287.75,10.47039032
287.8,10.36818695
287.85,10.25576782
287.9,10.115242
287.95,10.05648041
288,9.964500427
288.05,9.85974884
288.1,9.706443787
288.15,9.673233032
288.2,9.72177887
288.25,9.74987793
288.3,9.76776886
288.35,9.852081299
288.4,9.954277039
288.45,10.04881287
288.5,10.02581787
288.55,10.00793457
288.6,10.03092957
288.65,10.0845871
288.7,10.0845871
288.75,10.01560211
288.8,9.972167969
288.85,9.895515442
288.9,9.73966217
288.95,9.701332092
289,9.719223022
289.05,9.708999634
289.1,9.565917969
289.15,9.430503845
289.2,9.438171387
289.25,9.491828918
289.3,9.348747253
289.35,9.266983032
289.4,9.320640564
289.45,9.366630554
289.5,9.379402161
289.55,9.366630554
289.6,9.353858948
289.65,9.371742249
289.7,9.45349884
289.75,9.540367126
289.8,9.74987793
289.85,9.944061279
289.9,10.10502625
289.95,10.26854706
290,10.36308289
290.05,10.47294617
290.1,10.51638031
290.15,10.64412689
290.2,10.77954865
290.25,10.86897278
290.3,10.86386108
290.35,10.89196777
290.4,10.91240692
290.45,11.01204681
290.5,11.13724518
290.55,11.21134186
290.6,11.19600677
290.65,11.20111847
290.7,11.24200439
290.75,11.38252258
290.8,11.4693985
290.85,11.53838348
290.9,11.61247253
290.95,11.63546753
291,11.59970093
291.05,11.5281601
291.1,11.42085266
291.15,11.36719513
291.2,11.30076599
291.25,11.26244354
